pId,status,charge,mass,pt,phi,eta,p,beta,gamma,less10Gev,foundNearTrack,ctau,ctau*boost,event,run,luminosityBlock,validHits,trackPt,trackPhi,trackEta
-1000024,62,-1,700.048,167.22,2.58874,0.616909,200.062,0.274783,1.04003,0,0,2.60697,9.1222,43,1,1,0,0.0,0.0,0.0
-1000024,62,-1,700.048,412.19599999999997,1.96615,-1.59446,1057.02,0.8337319999999999,1.8110400000000002,0,1,49.2355,32.608000000000004,37,1,1,4,330.968,1.96605,-1.59439
1000024,62,1,700.048,139.972,-2.76745,-1.5800299999999998,354.204,0.451471,1.1207200000000002,0,0,1.70098,3.3618,33,1,1,0,0.0,0.0,0.0
1000024,62,1,700.048,540.955,-1.51843,0.7038770000000001,680.586,0.69707,1.39469,0,1,23.8072,24.488000000000003,45,1,1,4,2924.11,-1.51862,0.7038220000000001
1000024,62,1,700.048,322.567,1.05388,0.45706800000000003,356.852,0.45415200000000006,1.1224299999999998,0,1,26.0362,51.076,44,1,1,4,50.0986,1.05599,0.457225
-1000024,62,-1,700.048,312.88,-2.30533,1.15419,545.467,0.614632,1.26773,0,1,40.3299,51.75899999999999,44,1,1,4,83.0162,-2.30609,1.15431
1000024,62,1,700.048,283.052,0.58214,-0.153861,286.409,0.378663,1.08046,0,1,120.36200000000001,294.19,48,1,1,16,288.243,0.582164,-0.153257
-1000024,62,-1,700.048,296.45099999999996,-2.67349,-0.0252834,296.546,0.39005500000000004,1.08602,0,1,37.7939,89.219,48,1,1,8,416.07099999999997,-2.67331,-0.025434000000000002
1000024,62,1,700.048,967.1060000000001,-0.648645,-0.183326,983.403,0.814666,1.72435,0,1,152.839,108.8,38,1,1,17,1021.31,-0.648726,-0.183374
1000024,62,1,700.048,662.497,-2.25603,-1.16051,1160.99,0.856367,1.9366,0,1,122.385,73.795,49,1,1,13,651.524,-2.25608,-1.16041
-1000024,62,-1,700.048,674.163,0.826968,-1.66272,1841.57,0.9347409999999999,2.81429,0,1,346.717,131.8,49,1,1,21,754.71,0.8269639999999999,-1.66278
1000024,62,1,700.048,398.776,2.21505,-0.495008,448.63800000000003,0.539572,1.18773,0,1,56.2926,87.838,40,1,1,7,283.682,2.21522,-0.495029
-1000024,62,-1,700.048,908.878,-1.30903,-1.27989,1760.64,0.929241,2.70654,0,0,7.548610000000001,3.0014,40,1,1,0,0.0,0.0,0.0
-1000024,62,-1,700.048,381.045,0.582862,0.685437,474.11699999999996,0.56076,1.20776,0,1,42.1949,62.302,41,1,1,7,169.577,0.582328,0.68537
-1000024,62,-1,700.048,758.5160000000001,0.46752200000000005,0.192198,772.569,0.741032,1.48927,0,1,378.94199999999995,343.37,50,1,1,20,853.183,0.467606,0.19236
1000024,62,1,700.048,219.605,-0.72138,2.74781,1720.88,0.92629,2.65385,0,0,38.2083,15.543,47,1,1,0,0.0,0.0,0.0
-1000024,62,-1,700.048,260.322,-2.7926599999999997,1.5005700000000002,612.703,0.6586029999999999,1.32892,0,1,63.8997,73.009,55,1,1,7,368.0,-2.79245,1.5005899999999999
1000024,62,1,700.048,408.195,1.07849,1.17755,725.453,0.719595,1.4401,0,1,82.3551,79.471,51,1,1,9,1197.18,1.07817,1.17769
-1000024,62,-1,700.048,587.819,-2.13955,0.648266,715.72,0.7148909999999999,1.43013,0,1,83.1252,81.305,51,1,1,13,457.61800000000005,-2.13974,0.648436
1000024,62,1,700.048,131.151,-1.72862,1.15136,228.11599999999999,0.309824,1.05175,0,0,5.60377,17.197,52,1,1,0,0.0,0.0,0.0
1000024,62,1,700.048,1382.42,-1.62635,0.769422,1812.21,0.9328200000000001,2.77513,0,1,70.15100000000001,27.099,53,1,1,9,2057.37,-1.62642,0.769072
1000024,62,1,700.048,216.229,-2.12938,-1.81145,679.2539999999999,0.696368,1.39337,0,1,395.541,407.65,46,1,1,28,226.13299999999998,-2.12949,-1.81152
-1000024,62,-1,700.048,406.32099999999997,0.872634,-2.03094,1574.99,0.913801,2.4620599999999997,0,1,125.604,55.828,46,1,1,11,198.81,0.872136,-2.03091
1000024,62,1,700.048,76.4343,-2.50205,-3.8679,1829.18,0.93394,2.79776,0,0,1082.65,414.34,56,1,1,0,0.0,0.0,0.0
-1000024,62,-1,700.048,75.2275,0.963362,-3.4392199999999997,1173.35,0.858769,1.9517400000000003,0,0,373.87,223.06,56,1,1,0,0.0,0.0,0.0
-1000024,62,-1,700.048,295.841,1.8609900000000001,0.714808,374.694,0.471897,1.1342299999999998,0,1,26.3585,49.246,58,1,1,4,192.50400000000002,1.8608900000000002,0.714381
1000024,62,1,700.048,331.54699999999997,-0.000655241,-1.52867,800.495,0.7527560000000001,1.5190700000000001,0,1,61.132,53.461000000000006,57,1,1,6,363.586,-0.000755343,-1.52878
1000024,62,1,700.048,536.4169999999999,-2.45943,0.406328,581.312,0.638847,1.2998299999999998,0,1,270.923,326.26,60,1,1,18,536.307,-2.45946,0.406175
1000024,62,1,700.048,1000.18,2.9430099999999997,1.16975,1766.13,0.929634,2.7138299999999997,0,1,69.7876,27.662,54,1,1,6,783.058,2.9431,1.1696
-1000024,62,-1,700.048,764.94,-0.290207,1.17775,1359.69,0.88908,2.18459,0,1,131.591,67.751,54,1,1,14,743.165,-0.290162,1.17784
1000024,62,1,700.048,576.817,-0.912415,-1.39344,1233.49,0.869699,2.026,0,1,89.6883,50.901,61,1,1,9,388.274,-0.912324,-1.39345
1000024,62,1,700.048,109.34,-2.3910099999999996,1.9647,397.615,0.493879,1.15005,0,1,144.875,255.07,59,1,1,16,114.07600000000001,-2.39109,1.9645599999999999
-1000024,62,-1,700.048,101.836,1.32621,1.4539600000000001,229.827,0.311922,1.05251,0,0,13.2427,40.336999999999996,59,1,1,0,0.0,0.0,0.0
1000024,62,1,700.048,243.076,-0.30948200000000003,-0.9252290000000001,354.755,0.45203000000000004,1.12107,0,1,107.514,212.16,63,1,1,13,218.232,-0.30945700000000004,-0.924926
1000024,62,1,700.048,606.004,-0.683446,1.6937799999999998,1704.03,0.9249860000000001,2.63157,0,1,332.458,136.58,62,1,1,19,613.985,-0.683424,1.694
1000024,62,1,700.048,243.519,-0.291594,-1.9261099999999998,853.3539999999999,0.7731359999999999,1.57669,0,1,65.3381,53.6,66,1,1,5,58.1856,-0.290435,-1.92615
1000024,62,1,700.048,208.665,-1.516,-0.135472,210.583,0.288061,1.04426,0,1,122.617,407.62,69,1,1,15,225.747,-1.51615,-0.135378
-1000024,62,-1,700.048,178.62900000000002,1.48191,-0.333188,188.637,0.260182,1.03567,0,1,25.3354,94.022,69,1,1,4,169.42700000000002,1.48345,-0.333598
1000024,62,1,700.048,326.132,2.80162,-2.01478,1244.59,0.8715860000000001,2.0398099999999997,0,1,238.27,134.02,65,1,1,18,393.85699999999997,2.80157,-2.01496
