,mass,charge,p,pdgId,status,pt,eta,phi,beta,gamma,event,run,luminosityBlock,foundTrack,trackCharge,trackPt,trackPhi,trackEta,validHits,missingInnerHits,trackHits,missingOuterHits,validLayers,hpmissingOuterHits
12763,700.048,1,267.08,1000024,62,211.38400000000001,-0.710862,2.365,0.356456,1.07031,9665,1,1,1,1,216.97799999999998,2.36496,-0.711414,8,1,0,2,6,7
12764,700.048,-1,372.49199999999996,-1000024,62,175.55200000000002,-1.3846,-0.591061,0.469737,1.13275,9665,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12765,700.048,1,1254.26,1000024,62,527.866,-1.51105,-0.8281430000000001,0.8731979999999999,2.05185,9670,1,1,1,-1,1214.04,-0.828382,-1.51121,3,1,0,2,3,9
12766,700.048,1,512.76,1000024,62,377.79699999999997,-0.821934,-2.17993,0.590908,1.23956,9667,1,1,1,1,383.76199999999994,-2.18005,-0.821729,14,1,0,2,14,0
12767,700.048,-1,1106.75,-1000024,62,298.723,1.9840799999999998,0.732333,0.8451280000000001,1.87068,9667,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12768,700.048,1,521.129,1000024,62,106.404,2.2713099999999997,-0.331514,0.597132,1.24666,9672,1,1,1,1,105.029,-0.331609,2.271,4,1,0,2,4,7
12769,700.048,-1,902.3789999999999,-1000024,62,155.90200000000002,2.44141,2.6179,0.790116,1.63144,9672,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12770,700.048,1,807.0210000000001,1000024,62,804.7260000000001,0.0754966,2.03723,0.755397,1.5261,9666,1,1,1,1,729.193,2.0373,0.075843,17,1,0,2,14,0
12771,700.048,1,478.04400000000004,1000024,62,325.55,0.933625,-2.96958,0.563932,1.21092,9673,1,1,1,1,228.111,-2.9694700000000003,0.9332870000000001,4,1,0,2,4,7
12772,700.048,-1,1323.98,-1000024,62,431.75800000000004,1.7859599999999998,0.8069970000000001,0.8840309999999999,2.13937,9673,1,1,1,-1,229.18900000000002,0.806565,1.78608,14,1,0,2,9,7
12773,700.048,-1,1384.91,-1000024,62,90.1564,-3.4239300000000004,2.98243,0.8924620000000001,2.2166900000000003,9669,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12774,700.048,1,956.007,1000024,62,931.056,-0.230998,1.72458,0.806817,1.69262,9671,1,1,1,1,1172.74,1.7244700000000002,-0.23074299999999998,8,1,0,2,7,7
12775,700.048,-1,729.1610000000001,-1000024,62,673.013,-0.405695,-1.99722,0.7213609999999999,1.44392,9671,1,1,1,-1,734.545,-1.9971400000000001,-0.40581799999999996,13,1,0,2,10,4
12776,700.048,1,282.535,1000024,62,280.642,-0.116067,-1.7423099999999998,0.374261,1.07837,9677,1,1,1,1,303.60200000000003,-1.74248,-0.115828,6,1,0,2,6,7
12777,700.048,-1,667.257,-1000024,62,295.83299999999997,1.45331,1.39753,0.689951,1.3814899999999999,9677,1,1,1,-1,66.4982,1.39624,1.45341,3,1,0,2,3,8
12778,700.048,1,2175.11,1000024,62,398.168,-2.38263,-2.32298,0.9519129999999999,3.26405,9675,1,1,1,-1,421.913,-2.32375,-2.3825,10,1,0,2,7,5
12779,700.048,1,554.659,1000024,62,393.36,0.8772040000000001,-2.05989,0.621016,1.2758399999999999,9674,1,1,1,1,429.371,-2.05994,0.8772530000000001,18,1,0,2,12,2
12780,700.048,1,882.125,1000024,62,102.264,-2.84455,0.685794,0.783311,1.60867,9668,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12781,700.048,-1,632.722,-1000024,62,587.062,-0.391889,-1.9063599999999998,0.670532,1.3479299999999999,9668,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12782,700.048,1,1175.86,1000024,62,191.343,2.50215,-2.83736,0.85925,1.95482,9676,1,1,1,1,24.0735,-2.83849,2.5037700000000003,6,1,0,2,4,2
12783,700.048,1,513.1080000000001,1000024,62,505.663,0.17139100000000002,2.7427799999999998,0.591169,1.23985,9683,1,1,1,1,406.75,2.74304,0.171138,16,1,0,2,14,0
12784,700.048,-1,905.2560000000001,-1000024,62,35.1865,3.9403300000000003,-2.82638,0.79106,1.63469,9679,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12785,700.048,-1,550.672,-1000024,62,538.001,0.21661,-0.517986,0.618262,1.27231,9680,1,1,1,-1,790.691,-0.51784,0.216088,10,1,0,2,7,7
12786,700.048,-1,433.86300000000006,-1000024,62,411.25199999999995,-0.330104,0.609823,0.526794,1.17648,9682,1,1,1,-1,622.821,0.610012,-0.330196,9,1,0,2,7,5
12787,700.048,1,567.835,1000024,62,561.835,-0.14602300000000001,0.17893499999999998,0.629955,1.2876100000000001,9681,1,1,1,1,848.023,0.178781,-0.145817,9,1,0,2,7,7
